序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来
921	002194	北信瑞丰稳定	9月12日	1.013	1.013	-0.30%	0.00%	0.20%	1.20%	---	---	---	---	---	1.30%
922	720002	财通多策略稳	9月13日	0.987	1.248	0.10%	0.00%	-0.40%	2.39%	2.60%	2.53%	11.36%	20.07%	-0.20%	26.51%
923	002363	华安安康保本	9月13日	1.014	1.014	0.00%	0.00%	0.00%	0.80%	1.40%	---	---	---	---	1.40%
924	002378	建信安心保本	9月13日	1.011	1.011	0.00%	0.00%	0.20%	0.70%	1.10%	---	---	---	---	1.10%
925	050019	博时转债增强	9月13日	1.393	1.398	0.07%	0.00%	1.38%	1.83%	2.35%	-8.06%	45.60%	41.47%	-15.12%	39.63%
926	002569	博时裕弘纯债	9月13日	1.001	1.001	0.00%	0.00%	0.00%	---	---	---	---	---	---	0.10%
927	002246	泰康稳健增利	9月13日	1.018	1.018	0.10%	0.00%	-0.49%	1.29%	1.50%	---	---	---	---	1.70%
928	002622	广发稳裕保本	9月13日	1.003	1.003	0.00%	0.00%	0.10%	---	---	---	---	---	---	0.30%
929	001003	华夏债券C	9月13日	1.086	1.841	0.00%	0.00%	0.18%	2.25%	1.87%	4.92%	13.34%	18.73%	2.25%	91.42%
930	002642	博时安润18	9月9日	1.0166	1.0166	---	0.00%	0.52%	1.58%	---	---	---	---	---	1.65%
931	161813	银华信用债券	9月13日	1.288	1.473	0.08%	0.00%	-0.08%	1.90%	1.66%	5.15%	21.19%	28.44%	2.55%	53.74%
932	002904	博时安仁一年	9月9日	1.0108	1.0108	---	0.00%	0.43%	---	---	---	---	---	---	1.08%
933	161834	银华鑫锐定增	9月9日	1	1	---	0.00%	0.00%	---	---	---	---	---	---	0.00%
934	002844	金鹰多元策略	9月13日	1.0001	1.0001	0.01%	0.00%	0.01%	---	---	---	---	---	---	0.00%
935	531021	建信纯债C	9月13日	1.188	1.188	0.08%	0.00%	-0.08%	0.85%	1.02%	4.40%	14.35%	17.76%	1.37%	18.70%
936	002705	德邦纯债一年	9月9日	1.0133	1.0133	---	0.00%	0.26%	1.34%	---	---	---	---	---	1.33%
937	002761	博时安源18	9月9日	1.013	1.013	---	0.00%	-0.10%	---	---	---	---	---	---	1.30%
938	002295	广发稳安保本	9月13日	1.016	1.016	0.00%	0.00%	0.10%	0.99%	1.50%	---	---	---	---	1.60%
939	000064	大摩18个月	9月9日	1.077	1.348	---	0.00%	0.37%	3.54%	3.83%	9.01%	26.32%	37.36%	5.10%	38.87%
940	002429	华安全球美元	9月12日	1.053	1.053	-0.19%	0.00%	1.25%	5.71%	---	---	---	---	---	5.50%
941	002739	泓德裕康债券	9月13日	1.001	1.001	0.00%	0.00%	0.00%	---	---	---	---	---	---	0.10%
942	002813	博时保泰保本	9月9日	1.004	1.004	---	0.00%	0.20%	---	---	---	---	---	---	0.40%
943	002905	博时安仁一年	9月9日	1.0096	1.0096	---	0.00%	0.38%	---	---	---	---	---	---	0.96%
944	002776	招商安荣保本	9月13日	1.002	1.002	0.00%	0.00%	0.10%	---	---	---	---	---	---	0.20%
945	160522	博时睿益	9月9日	1	1	---	0.00%	---	---	---	---	---	---	---	0.00%
946	519640	银河鸿利混合	9月13日	1.041	1.041	0.00%	0.00%	0.29%	1.76%	2.87%	4.83%	---	---	2.87%	4.10%
947	002265	鑫元兴利债券	9月13日	1.022	1.022	0.00%	0.00%	0.00%	1.39%	1.89%	---	---	---	---	2.20%
948	002454	九泰久稳保本	9月13日	1.004	1.004	0.00%	0.00%	0.00%	0.40%	---	---	---	---	---	0.40%
949	002931	南方荣毅	9月9日	1.001	1.001	---	0.00%	0.10%	---	---	---	---	---	---	0.10%
950	002572	长盛同泰债券	9月12日	1	1	0.00%	0.00%	0.00%	0.00%	---	---	---	---	---	0.00%
951	519610	银河旺利混合	9月13日	1.035	1.035	0.00%	0.00%	0.00%	2.88%	---	---	---	---	---	3.50%
952	002959	汇添富盈稳保	9月13日	1.001	1.001	---	0.00%	0.10%	---	---	---	---	---	---	0.10%
953	002659	兴业聚全灵活	9月13日	1.039	1.039	0.00%	0.00%	0.10%	---	---	---	---	---	---	3.90%
954	002640	中信建投稳溢	9月12日	1.005	1.005	-0.10%	0.00%	0.10%	0.40%	---	---	---	---	---	0.50%
955	160220	国泰民益混合	9月13日	1.307	1.307	0.08%	0.00%	0.00%	1.71%	2.51%	5.66%	24.26%	---	1.56%	30.60%
956	002338	兴业保本混合	9月13日	1.039	1.039	0.10%	0.00%	0.68%	4.01%	4.01%	---	---	---	---	3.80%
957	002498	兴业聚鑫灵活	9月13日	1.04	1.04	0.10%	0.00%	0.58%	3.59%	---	---	---	---	---	3.90%
958	002762	博时安源18	9月9日	1.012	1.012	---	0.00%	-0.20%	---	---	---	---	---	---	1.20%
959	002102	创金合信鑫优	9月12日	1.052	1.052	-0.28%	0.00%	0.67%	3.44%	4.16%	---	---	---	3.85%	5.20%
960	002101	创金合信鑫优	9月12日	1.06	1.06	-0.28%	0.00%	0.66%	3.52%	4.64%	---	---	---	4.64%	6.00%
961	002081	大成景沛灵活	9月13日	1.04	1.04	0.00%	0.00%	0.58%	2.46%	2.77%	---	---	---	3.28%	4.00%
962	168103	九泰锐益定增	9月13日	0.999	0.999	0.00%	0.00%	-0.10%	---	---	---	---	---	---	-0.10%
963	165528	信诚鼎利定增	9月13日	1.002	1.002	0.10%	0.00%	0.20%	0.10%	---	---	---	---	---	0.10%
964	002399	华安安禧保本	9月13日	1.006	1.006	0.00%	0.00%	0.00%	0.50%	---	---	---	---	---	0.60%
965	001952	光大尊尚一年	9月9日	1.049	1.049	---	0.00%	0.87%	3.96%	3.86%	---	---	---	4.69%	4.90%
966	002608	博时泰和债券	9月13日	1.015	1.015	0.00%	0.00%	-0.59%	1.30%	---	---	---	---	---	1.50%
967	002542	长城久鼎保本	9月13日	1.001	1.001	0.00%	0.00%	0.00%	---	---	---	---	---	---	0.10%
968	002028	九泰天宝灵活	9月13日	1.069	1.069	0.00%	0.00%	0.28%	1.33%	2.00%	---	---	---	2.49%	2.59%
969	001994	华安年年红债	9月9日	1.048	1.086	---	0.00%	0.19%	0.77%	0.77%	---	---	---	0.86%	1.71%
970	002083	新华鑫动力灵	9月13日	1.002	1.002	0.00%	0.00%	0.00%	0.20%	---	---	---	---	---	0.20%
971	002249	招商境远保本	9月13日	1.015	1.015	0.00%	0.00%	0.00%	1.00%	1.00%	---	---	---	1.40%	1.50%
972	002446	广发稳鑫保本	9月13日	1.009	1.009	0.00%	0.00%	0.10%	0.50%	---	---	---	---	---	0.90%
973	160519	博时睿利定增	9月13日	1.005	1.005	0.10%	0.00%	0.20%	0.40%	---	---	---	---	---	0.40%
974	002585	建信安心保本	9月13日	1.003	1.003	0.00%	0.00%	0.00%	0.30%	---	---	---	---	---	0.30%
975	001953	光大尊尚一年	9月9日	1.046	1.046	---	0.00%	0.77%	3.87%	3.67%	---	---	---	4.39%	4.60%
976	002238	华安乐惠保本	9月9日	1.018	1.018	---	0.00%	0.20%	1.09%	1.60%	---	---	---	1.80%	1.80%
977	002239	华安乐惠保本	9月9日	1.016	1.016	---	0.00%	0.20%	0.99%	1.50%	---	---	---	1.60%	1.60%
978	002364	华安安康保本	9月13日	1.011	1.011	0.00%	0.00%	-0.10%	0.70%	1.10%	---	---	---	---	1.10%
979	160921	大成定增灵活	9月9日	1	1	---	0.00%	---	---	---	---	---	---	---	0.00%
980	001737	大摩沪港深新	9月13日	1.002	1.002	0.10%	0.00%	-0.20%	-1.67%	-0.40%	---	---	---	---	0.10%
981	002668	兴业聚丰灵活	9月13日	1.074	1.074	0.00%	0.00%	0.19%	---	---	---	---	---	---	7.40%
982	002629	招商安博保本	9月13日	1.003	1.003	0.00%	0.00%	0.00%	0.30%	---	---	---	---	---	0.30%
983	002766	新华双利债券	9月13日	1.002	1.002	0.00%	0.00%	0.00%	---	---	---	---	---	---	0.20%
984	000959	东吴鼎元C	9月13日	1.026	1.026	0.00%	0.00%	0.89%	2.29%	---	---	---	---	---	2.60%
985	000958	东吴鼎元A	9月13日	1.02	1.02	0.10%	0.00%	0.89%	2.31%	---	---	---	---	---	1.90%
986	002389	招商安德保本	9月13日	1.015	1.015	0.00%	0.00%	0.00%	1.00%	1.50%	---	---	---	---	1.50%
987	002442	鑫元汇利债券	9月13日	1.014	1.014	0.00%	0.00%	0.20%	0.90%	1.40%	---	---	---	---	1.40%
988	002144	华安新优选灵	9月13日	1.019	1.019	0.10%	0.00%	0.20%	0.99%	1.80%	---	---	---	1.80%	2.11%
989	000769	长城久盈纯债	9月13日	1.012	1.08	0.00%	0.00%	0.30%	0.80%	1.68%	3.72%	---	---	2.39%	8.28%
990	000489	光大保德信岁	9月13日	1.063	1.139	0.00%	0.00%	-0.09%	1.82%	1.53%	5.04%	14.01%	---	3.00%	14.24%
991	001811	中欧明睿新常	9月13日	0.951	0.951	-0.21%	0.00%	3.14%	0.11%	-4.70%	---	---	---	---	-4.70%
992	002734	泓德裕荣纯债	9月9日	1.001	1.001	---	0.00%	---	---	---	---	---	---	---	0.10%
993	100066	富国纯债A	9月12日	1.043	1.203	-0.10%	0.00%	0.10%	1.94%	2.34%	5.31%	11.97%	17.65%	3.22%	21.65%
994	002368	国联安鑫悦灵	9月13日	1.027	1.027	0.00%	0.00%	0.39%	1.68%	2.50%	---	---	---	---	2.70%
995	002862	金信量化精选	9月12日	0.935	0.935	0.00%	0.00%	0.54%	---	---	---	---	---	---	-6.50%
996	003055	博时招财二号	9月9日	1.001	1.001	---	0.00%	---	---	---	---	---	---	---	0.10%
997	002877	华夏大中华信	9月9日	0.999	0.999	---	0.00%	0.00%	---	---	---	---	---	---	-0.10%
998	270044	广发双债添利	9月13日	1.249	1.249	0.00%	0.00%	0.00%	2.55%	2.55%	8.42%	20.33%	20.33%	4.08%	24.90%
999	000286	银华信用季季	9月13日	1.025	1.21	0.00%	0.00%	0.10%	1.07%	2.16%	5.43%	14.46%	---	3.05%	22.40%
1000	040040	华安纯债债券	9月13日	1.066	1.178	0.00%	0.00%	0.00%	0.75%	1.23%	3.11%	13.41%	16.91%	1.51%	18.31%
1001	519619	银河君荣灵活	9月13日	1	1	0.00%	0.00%	---	---	---	---	---	---	---	0.00%
1002	519620	银河君荣灵活	9月13日	1	1	0.00%	0.00%	---	---	---	---	---	---	---	0.00%
1003	000937	华商稳固添利	9月13日	1.077	1.077	0.00%	0.00%	0.19%	0.75%	0.84%	4.56%	---	---	1.03%	7.70%
1004	002854	华富元鑫灵活	9月13日	1	1	0.00%	0.00%	---	---	---	---	---	---	---	0.00%
1005	164703	汇添富互利分	9月13日	1.482	1.526	0.07%	0.00%	0.00%	1.72%	3.13%	11.34%	41.69%	---	4.66%	54.39%
1006	003176	德邦景颐债券	9月13日	1.0001	1.0001	---	0.00%	---	---	---	---	---	---	---	0.01%
1007	002674	中融融丰纯债	9月13日	1.003	1.003	0.00%	0.00%	0.00%	---	---	---	---	---	---	0.30%
1008	000142	融通通泰保本	9月13日	1.003	1.258	0.00%	0.00%	-0.30%	0.72%	1.04%	4.92%	15.94%	24.93%	1.21%	25.80%
1009	002735	泓德裕荣纯债	9月9日	1.001	1.001	---	0.00%	---	---	---	---	---	---	---	0.10%
1010	001923	国泰添益灵活	9月13日	0.999	0.999	-0.10%	0.00%	---	---	---	---	---	---	---	0.00%
1011	001517	大成景裕灵活	9月13日	1.076	1.076	0.00%	0.00%	0.09%	4.06%	4.77%	8.36%	---	---	5.80%	7.60%
1012	003231	创金合信鑫动	9月9日	1	1	---	0.00%	---	---	---	---	---	---	---	0.00%
1013	002079	前海开源中国	9月13日	0.986	0.986	0.00%	0.00%	0.10%	1.86%	1.44%	---	---	---	-1.20%	-1.40%
1014	673060	西部利得景瑞	9月13日	1	1	---	0.00%	---	---	---	---	---	---	---	0.00%
1015	003232	创金合信鑫价	9月9日	1	1	---	0.00%	---	---	---	---	---	---	---	0.00%
1016	002115	国富新收益混	9月9日	1	1	---	0.00%	---	---	---	---	---	---	---	0.00%
1017	003230	创金合信鑫动	9月9日	1	1	---	0.00%	---	---	---	---	---	---	---	0.00%
1018	519062	海富通阿尔法	9月13日	1.213	1.213	0.00%	0.00%	0.17%	0.75%	1.51%	1.25%	---	---	1.51%	21.30%
1019	002426	华安全球美元	9月12日	1.054	1.054	-0.19%	0.00%	1.25%	5.81%	---	---	---	---	---	5.60%
1020	001511	兴全新视野定	9月13日	1.072	1.072	0.66%	0.00%	0.28%	4.11%	10.48%	5.24%	---	---	3.00%	6.50%
1021	003177	德邦景颐债券	9月13日	1	1	---	0.00%	---	---	---	---	---	---	---	0.00%
1022	001168	国投瑞银优选	9月13日	1.058	1.061	0.09%	0.00%	0.28%	1.05%	1.63%	3.32%	---	---	1.73%	6.01%
1023	000395	汇添富安心中	9月13日	1.162	1.162	0.09%	0.00%	-0.09%	1.40%	1.31%	4.78%	11.63%	---	1.93%	16.10%
1024	000714	诺安稳健回报	9月13日	1.339	1.339	0.00%	0.00%	0.22%	0.75%	2.29%	6.27%	---	---	3.08%	33.90%
1025	002584	富安达长盈保	9月13日	1.006	1.006	0.00%	0.00%	0.10%	0.50%	---	---	---	---	---	0.60%
1026	003233	创金合信鑫价	9月9日	1	1	---	0.00%	---	---	---	---	---	---	---	0.00%
1027	002624	广发优企精选	9月13日	0.999	0.999	0.00%	0.00%	-0.10%	---	---	---	---	---	---	-0.10%
1028	002114	国富新收益混	9月9日	1	1	---	0.00%	---	---	---	---	---	---	---	0.00%
1029	519613	银河君尚混合	9月13日	1.0008	1.0008	0.03%	0.00%	---	---	---	---	---	---	---	0.05%
1030	200009	长城稳健增利	9月13日	1.182	1.537	0.00%	0.00%	0.17%	2.07%	2.41%	6.57%	20.97%	28.84%	3.96%	61.30%
1031	001733	泰达宏利量化	9月13日	1	1	0.00%	0.00%	---	---	---	---	---	---	---	0.00%
1032	261002	景顺长城优信	9月13日	1.344	1.354	0.30%	0.00%	0.37%	2.60%	4.93%	7.46%	23.50%	25.47%	2.37%	35.27%
1033	002823	招商盛达混合	9月9日	1	1	---	0.00%	---	---	---	---	---	---	---	0.00%
1034	003119	博时鑫源混合	9月13日	1	1	0.00%	0.00%	---	---	---	---	---	---	---	0.00%
1035	003033	南方荣冠定开	9月9日	1	1	---	0.00%	---	---	---	---	---	---	---	0.00%
1036	001967	华宝转型升级	9月13日	1.02	1.02	0.79%	0.00%	0.40%	2.02%	6.53%	---	---	---	1.30%	1.20%
1037	002830	浙商惠丰定开	9月9日	1.001	1.001	---	0.00%	0.10%	---	---	---	---	---	---	0.10%
1038	519755	交银多策略回	9月12日	1.045	1.045	-0.10%	0.00%	0.29%	1.65%	2.96%	5.88%	---	---	3.77%	4.50%
1039	002824	招商盛达混合	9月9日	1	1	---	0.00%	---	---	---	---	---	---	---	0.00%
1040	002853	华富元鑫灵活	9月13日	1	1	0.00%	0.00%	---	---	---	---	---	---	---	0.00%
1041	519320	浦银安盛幸福	9月9日	1.014	1.014	---	0.00%	0.20%	1.30%	---	---	---	---	---	1.40%
1042	002412	华富安福保本	9月13日	1.01	1.01	0.00%	0.00%	0.10%	0.80%	---	---	---	---	---	1.00%
1043	070001	嘉实成长收益	9月12日	1.2043	4.2855	-1.84%	-0.01%	0.59%	3.50%	19.69%	16.90%	76.45%	90.44%	-5.77%	937.16%
1044	001450	东方稳定增利	9月13日	1.0591	1.0591	0.00%	-0.01%	1.40%	3.81%	4.08%	---	---	---	2.81%	5.91%
1045	291007	泰信增强债券	9月13日	1.0208	1.2978	0.04%	-0.01%	-0.04%	0.87%	0.77%	2.79%	12.59%	15.79%	0.91%	32.95%
1046	168104	九泰锐丰定增	9月13日	0.9998	0.9998	0.00%	-0.01%	---	---	---	---	---	---	---	-0.02%
1047	184801	鹏华前海万科	9月9日	108.248	1.121	---	-0.01%	0.90%	3.83%	6.37%	12.52%	---	---	7.47%	12.97%
1048	040009	华安稳定债券	9月13日	1.1422	1.6524	0.10%	-0.02%	-0.32%	2.58%	1.96%	5.07%	31.93%	34.46%	2.07%	81.60%
1049	001190	鹏华弘润混合	9月13日	1.0712	1.0712	0.01%	-0.02%	0.15%	1.64%	2.60%	4.60%	---	---	3.49%	7.11%
1050	001191	鹏华弘润混合	9月13日	1.0615	1.0615	0.01%	-0.02%	0.12%	1.57%	2.45%	4.16%	---	---	3.25%	6.14%
1051	000177	嘉实丰益信用	9月12日	1.011	1.244	-0.10%	-0.02%	-0.12%	1.57%	1.81%	4.53%	18.91%	26.38%	2.55%	26.63%
1052	002848	农银纯债定开	9月9日	1.0074	1.0074	---	-0.02%	0.29%	---	---	---	---	---	---	0.74%
1053	206003	鹏华信用增利	9月13日	1.3772	1.4072	0.12%	-0.02%	0.66%	2.86%	6.05%	8.82%	19.09%	24.25%	4.84%	41.27%
1054	040010	华安稳定债券	9月13日	1.1369	1.6139	0.09%	-0.03%	-0.35%	2.47%	1.76%	4.66%	30.88%	32.85%	1.79%	75.69%
1055	001122	鹏华弘利混合	9月13日	1.087	1.087	0.02%	-0.03%	0.24%	1.73%	2.63%	4.80%	---	---	3.11%	8.68%
1056	001123	鹏华弘利混合	9月13日	1.079	1.079	0.02%	-0.03%	0.21%	1.65%	2.45%	4.43%	---	---	2.84%	7.88%
1057	540005	汇丰晋信平稳	9月13日	1.0713	1.2394	0.05%	-0.03%	-0.21%	1.69%	2.09%	4.53%	14.31%	15.96%	2.50%	25.68%
1058	541005	汇丰晋信稳增	9月13日	1.0715	1.2492	0.05%	-0.03%	-0.24%	1.60%	1.92%	4.16%	13.18%	14.41%	2.27%	26.49%
1059	001336	鹏华弘益混合	9月13日	1.0532	1.0532	0.01%	-0.03%	0.13%	1.97%	3.04%	5.00%	---	---	3.86%	5.31%
1060	001337	鹏华弘益混合	9月13日	1.0414	1.0414	0.00%	-0.03%	0.11%	1.89%	2.91%	4.45%	---	---	3.62%	4.14%
1061	206004	鹏华信用增利	9月13日	1.3572	1.3872	0.13%	-0.03%	0.63%	2.78%	5.82%	8.44%	19.22%	23.90%	4.59%	39.26%
1062	180002	银华保本增值	9月13日	1.0141	1.0141	0.00%	-0.03%	-0.01%	1.21%	1.37%	1.78%	17.34%	24.19%	0.55%	129.18%
1063	002928	长盛盛和纯债	9月13日	1.0101	1.0101	-0.07%	-0.03%	0.04%	---	---	---	---	---	---	1.08%
1064	519614	银河君尚混合	9月13日	1.0011	1.0011	0.04%	-0.03%	---	---	---	---	---	---	---	0.07%
1065	450005	国富强化债券	9月13日	1.2699	1.5889	-0.02%	-0.03%	0.47%	2.62%	4.70%	8.06%	29.48%	39.04%	3.64%	67.47%
1066	450006	国富强化债券	9月13日	1.126	1.5471	-0.03%	-0.04%	0.45%	2.55%	4.60%	7.80%	28.95%	38.21%	3.49%	59.76%
1067	001283	红塔红土盛金	9月12日	1.0705	1.0705	-0.04%	-0.04%	0.10%	1.07%	1.86%	2.89%	---	---	1.91%	7.05%
1068	001250	天弘新活力混	9月13日	1.0692	1.0692	0.01%	-0.04%	0.11%	3.17%	3.18%	5.95%	---	---	4.25%	6.91%
1069	001453	鹏华弘鑫混合	9月13日	1.053	1.053	0.01%	-0.04%	0.12%	2.28%	3.43%	5.18%	---	---	4.25%	5.29%
1070	001522	博时新策略灵	9月13日	1.0537	1.0537	0.03%	-0.04%	0.18%	1.81%	2.27%	---	---	---	3.99%	5.34%
1071	001454	鹏华弘鑫混合	9月13日	1.0453	1.0453	0.01%	-0.04%	0.11%	2.20%	3.28%	4.73%	---	---	4.00%	4.52%
1072	519692	交银成长混合	9月12日	4.0898	4.8958	-1.45%	-0.04%	1.25%	4.61%	15.90%	7.82%	45.11%	45.94%	-11.63%	424.55%
1073	164812	工银政府债纯	9月13日	1.017	1.224	0.04%	-0.04%	0.06%	0.85%	1.56%	3.58%	31.87%	27.79%	1.83%	23.19%
1074	003100	长盛盛景纯债	9月13日	1.0014	1.0014	-0.06%	-0.04%	0.27%	---	---	---	---	---	---	0.20%
1075	003099	长盛盛景纯债	9月13日	1.0016	1.0016	-0.06%	-0.04%	0.28%	---	---	---	---	---	---	0.22%
1076	003044	东方红战略精	9月9日	0.9999	0.9999	---	-0.04%	---	---	---	---	---	---	---	-0.01%
1077	003045	东方红战略精	9月9日	0.9998	0.9998	---	-0.04%	---	---	---	---	---	---	---	-0.02%
1078	001284	红塔红土盛金	9月12日	0.9975	0.9975	-0.04%	-0.04%	0.08%	1.00%	1.72%	2.63%	---	---	1.73%	-0.25%
1079	160124	南方中债10	9月12日	1.1806	1.2106	-0.12%	-0.04%	-0.59%	1.32%	1.04%	3.83%	10.30%	12.56%	0.98%	21.49%
1080	770001	德邦优化混合	9月13日	0.8733	1.6733	0.01%	-0.05%	-2.26%	-1.03%	-0.31%	-7.56%	18.42%	28.06%	-23.79%	53.02%
1081	002018	鹏华弘安混合	9月13日	1.0361	1.0361	0.01%	-0.05%	0.17%	1.79%	2.68%	---	---	---	2.88%	3.60%
1082	002927	长盛盛和纯债	9月13日	1.0102	1.0102	-0.06%	-0.05%	0.01%	---	---	---	---	---	---	1.08%
1083	000592	建信改革红利	9月13日	1.868	1.868	0.00%	-0.05%	0.54%	3.09%	17.41%	18.91%	73.44%	---	-14.51%	86.80%
1084	001229	德邦福鑫灵活	9月13日	1.0567	1.0567	0.03%	-0.06%	0.28%	1.34%	2.40%	4.32%	---	---	3.06%	5.64%
1085	002106	德邦福鑫灵活	9月13日	1.054	1.054	0.02%	-0.06%	0.26%	1.28%	2.27%	---	---	---	2.84%	3.53%
1086	001270	英大灵活配置	9月13日	1.05	1.05	0.04%	-0.06%	0.22%	1.31%	1.90%	3.41%	---	---	2.20%	4.96%
1087	002019	鹏华弘安混合	9月13日	1.0334	1.0334	0.01%	-0.06%	0.16%	1.71%	2.51%	---	---	---	2.61%	3.33%
1088	001331	鹏华弘信混合	9月13日	1.165	1.165	0.01%	-0.06%	0.07%	2.27%	13.87%	16.49%	---	---	14.32%	16.49%
1089	000571	中邮双动力混	9月13日	1.612	1.612	0.06%	-0.06%	-0.12%	1.77%	3.14%	6.83%	49.03%	---	1.38%	61.10%
1090	200001	长城久恒灵活	9月13日	1.562	2.864	-0.06%	-0.06%	0.19%	0.97%	1.10%	3.74%	16.74%	24.56%	1.42%	327.00%
1091	519030	海富通稳固债	9月13日	1.559	1.559	0.19%	-0.06%	0.58%	4.36%	5.35%	-1.21%	31.53%	39.80%	-4.77%	55.60%
1092	240003	华宝宝康债券	9月13日	1.3577	1.9977	0.01%	-0.07%	-0.08%	1.90%	2.48%	5.57%	16.29%	23.65%	3.67%	135.90%
1093	000121	华夏永福养老	9月13日	1.495	1.495	0.13%	-0.07%	-0.13%	2.68%	3.61%	5.96%	34.75%	48.85%	3.25%	49.30%
1094	001271	英大灵活配置	9月13日	1.0444	1.0444	0.04%	-0.07%	0.17%	1.16%	1.66%	2.86%	---	---	1.85%	4.40%
1095	470018	汇添富双利债	9月13日	1.488	1.488	0.07%	-0.07%	0.34%	2.91%	4.28%	9.82%	31.24%	40.95%	0.61%	48.70%
1096	290003	泰信双息双利	9月13日	1.0368	1.4391	0.00%	-0.07%	0.22%	0.96%	1.23%	2.73%	12.36%	16.44%	1.18%	51.56%
1097	002076	浙商聚潮灵活	9月13日	1.0342	1.0342	-0.04%	-0.07%	0.41%	3.05%	---	---	---	---	---	3.46%
1098	001412	德邦鑫星价值	9月13日	1.0255	1.0255	0.03%	-0.07%	0.21%	2.23%	3.19%	6.10%	---	---	3.55%	2.58%
1099	050006	博时稳定价值	9月13日	1.458	1.819	0.07%	-0.07%	-0.21%	3.11%	2.82%	7.69%	53.45%	47.42%	3.19%	100.70%
1100	002508	华宝宝鑫债券	9月13日	1.0129	1.0129	0.01%	-0.07%	-0.37%	1.23%	---	---	---	---	---	1.28%
1101	540001	汇丰晋信20	9月13日	1.1532	2.4732	0.09%	-0.07%	-0.03%	2.12%	2.89%	5.60%	25.07%	29.24%	0.29%	179.44%
1102	180028	银华永祥保本	9月13日	1.418	1.636	0.07%	-0.07%	0.28%	2.83%	3.81%	4.58%	39.19%	46.61%	0.21%	63.47%
1103	000053	鹏华实业债纯	9月13日	1.3878	1.3979	0.01%	-0.07%	-0.16%	0.33%	0.04%	0.12%	28.01%	38.82%	-4.70%	40.07%
1104	310518	申万可转换债	9月13日	1.381	1.531	0.00%	-0.07%	0.80%	2.75%	0.95%	-5.28%	25.32%	31.02%	-14.38%	58.45%
1105	519127	浦银安盛盛世	9月13日	1.369	1.369	0.07%	-0.07%	0.59%	2.17%	7.04%	17.42%	35.31%	---	7.04%	36.80%
1106	400022	东方利群混合	9月13日	1.2321	1.2321	0.07%	-0.07%	0.24%	2.34%	2.25%	3.55%	19.02%	22.50%	2.35%	23.21%
1107	180029	银华永泰积极	9月13日	1.357	1.357	0.00%	-0.07%	0.07%	2.65%	2.80%	5.93%	29.36%	23.03%	3.04%	35.70%
1108	002193	东方利群混合	9月13日	1.2201	1.2201	0.07%	-0.07%	0.21%	1.35%	---	---	---	---	---	1.17%
1109	180025	银华信用双利	9月13日	1.33	1.45	0.00%	-0.08%	0.00%	2.15%	2.47%	4.40%	27.47%	39.06%	2.07%	46.84%
1110	180030	银华永泰积极	9月13日	1.313	1.313	-0.08%	-0.08%	0.00%	2.58%	2.66%	5.54%	27.70%	20.44%	2.82%	31.40%
1111	001115	广发聚安混合	9月13日	1.313	1.313	0.00%	-0.08%	0.61%	1.86%	4.04%	22.48%	---	---	12.80%	31.30%
1112	020019	国泰双利债券	9月13日	1.311	1.577	0.15%	-0.08%	0.00%	3.07%	4.30%	7.47%	22.44%	30.28%	5.14%	67.08%
1113	180026	银华信用双利	9月13日	1.301	1.421	0.00%	-0.08%	-0.08%	2.04%	2.28%	4.08%	26.77%	37.68%	1.80%	43.88%
1114	000481	华商双债丰利	9月13日	1.296	1.621	0.08%	-0.08%	-0.08%	1.48%	4.70%	10.88%	47.48%	---	2.70%	67.54%
1115	000405	信诚月月支付	9月13日	1.296	1.296	0.23%	-0.08%	0.62%	2.70%	2.13%	8.11%	18.95%	---	-4.29%	29.30%
1116	020020	国泰双利债券	9月13日	1.286	1.538	0.16%	-0.08%	0.00%	2.97%	4.05%	7.09%	21.48%	28.74%	4.82%	62.01%
1117	519023	海富通稳健添	9月13日	1.269	1.36	0.08%	-0.08%	-0.16%	1.85%	2.59%	4.62%	13.11%	15.38%	3.17%	37.90%
1118	002509	华宝宝鑫债券	9月13日	1.0116	1.0116	0.01%	-0.08%	-0.40%	1.14%	---	---	---	---	---	1.15%
1119	000403	工银纯债债券	9月13日	1.264	1.264	0.00%	-0.08%	-0.08%	2.76%	2.85%	6.76%	20.84%	---	3.61%	26.40%
1120	530020	建信转债增强	9月13日	2.526	2.526	0.16%	-0.08%	0.20%	1.86%	2.35%	1.08%	102.41%	122.79%	-0.51%	152.20%
1121	660002	农银恒久增利	9月13日	1.3834	1.5974	-0.01%	-0.08%	0.14%	2.14%	2.51%	5.39%	28.63%	34.34%	3.69%	61.74%
1122	003170	长盛盛辉混合	9月12日	0.9992	0.9992	-0.09%	-0.08%	---	---	---	---	---	---	---	-0.08%
1123	610007	信达澳银消费	9月13日	1.253	1.743	0.48%	-0.08%	0.24%	1.22%	10.84%	3.09%	23.60%	40.50%	-25.60%	66.49%
1124	531020	建信转债增强	9月13日	2.486	2.486	0.12%	-0.08%	0.20%	1.80%	2.18%	0.73%	101.05%	120.52%	-0.72%	148.30%
1125	151002	银河收益债券	9月13日	1.3593	2.9493	0.00%	-0.08%	0.77%	2.94%	4.67%	5.68%	63.70%	72.16%	3.22%	339.32%
